point_number,point_type,x,y,yaw
1,map->robot,-2.924668984674623,10.052812094819096,89.38865531298651
point_number,point_type,x,y,yaw
1,map->robot,-2.9211826582891565,10.05494570277017,89.38647949498836
2,map->robot,-2.9198830909311795,10.053247348544097,89.39245559628341
3,map->robot,-2.922552491030549,10.054317943285819,89.38492006299737
4,map->robot,-2.9246492299390514,10.05231274018723,89.389248243356
5,map->robot,-2.9226099425686396,10.054593483052212,89.38468290180273
6,map->robot,-2.9180593239946067,10.053901724414752,89.39678331942655
7,map->robot,-2.923761976540895,10.052836079524567,89.38435290893888
8,map->robot,-2.9253098875575443,10.051973168565905,89.387809352484
9,map->robot,-2.923005450019968,10.051585925844407,89.39006733059404
10,map->robot,-2.9185949802453948,10.050790150656269,89.39193741361748
11,map->robot,-2.919489998254596,10.051700694624396,89.39709682282331
12,map->robot,-2.9206141555779723,10.053413578402008,89.39023360229967
13,map->robot,-2.9160568777185425,10.051732833425124,89.39417980484853
14,map->robot,-2.923200990603057,10.062641991637989,89.47607509054667
15,map->robot,-2.922776989237823,10.054043209248931,89.38868014890872
16,map->robot,-2.9167502134095997,10.054993616365623,89.38766515574063
17,map->robot,-2.914224101082258,10.055005422639708,89.38339904891369
18,map->robot,-2.9157012222881793,10.053826701665688,89.39358620436991
19,map->robot,-2.9219856899520877,10.05458388841329,89.38935460143973
20,map->robot,-2.9161387806377643,10.051133705957666,89.39360144753395
21,map->robot,-2.9222505226524227,10.053656541983745,89.38477931021363
22,map->robot,-2.923857154519414,10.062015412120651,89.47787268045786
23,map->robot,-2.9193036836904245,10.050174220411058,89.39392632451435
24,map->robot,-2.920758023789098,10.051104480953871,89.38816683177262
25,map->robot,-2.9217234767869975,10.061198443147873,89.48515291655089
26,map->robot,-2.9177176025326705,10.05055272364843,89.39703524953784
27,map->robot,-2.9194396760870713,10.051688713228067,89.38725741176594
28,map->robot,-2.920419661082562,10.06113212725908,89.47304153759427
29,map->robot,-2.916978208822739,10.051515687601569,89.3897962106355
30,map->robot,-2.9190775057333216,10.053120954104589,89.38561847787905
31,map->robot,-2.920527708031864,10.053697689651171,89.38665058061545
32,map->robot,-2.9214397148824425,10.053704431634284,89.38690777138667
33,map->robot,-2.9219622796549896,10.053609651316638,89.38598535096405
34,map->robot,-2.91861606744067,10.05184331433789,89.39510239153158
35,map->robot,-2.91861606744067,10.05184331433789,89.39510239153158
36,map->robot,-2.9202661326204886,10.053146017239776,89.39182689961113
37,map->robot,-2.921503643634889,10.062987359377525,89.48547770963634
38,map->robot,-2.917552953645643,10.052255180428304,89.3941151751112
39,map->robot,-2.923769942202375,10.051992940148207,89.37866656880922
40,map->robot,-2.9231677277350894,10.052373982591362,89.38143378321388
41,map->robot,-2.925467990208407,10.05149027539274,89.38349034459225
42,map->robot,-2.925522087278086,10.060299437162513,89.47697087185402
43,map->robot,-2.915413452360367,10.054590117202526,89.4444313941488
44,map->robot,-2.914302358145191,10.05102627489261,89.39138028697424
45,map->robot,-2.9163045103237195,10.061949120251967,89.48099199519244
46,map->robot,-2.913246993296232,10.052488733207678,89.39904473833857
47,map->robot,-2.913246993296232,10.052488733207678,89.39904473833857
48,map->robot,-2.917384552353525,10.05464566573949,89.39233496165117
49,map->robot,-2.9189468287650016,10.053773423537153,89.38723214026193
50,map->robot,-2.920065573416583,10.053477203488393,89.38496390417633
51,map->robot,-2.920958006587947,10.062910235346887,89.48353672024906
52,map->robot,-2.916691149554797,10.051909777244955,89.39551522000035
53,map->robot,-2.9185872706948253,10.05290638509824,89.38684027431769
54,map->robot,-2.9200332281668633,10.053285984517611,89.38399770146056
55,map->robot,-2.921181979264567,10.063180322593595,89.48408772733745
56,map->robot,-2.921181979264567,10.063180322593595,89.48408772733745
57,map->robot,-2.921181979264567,10.063180322593595,89.48408772733745
58,map->robot,-2.91554303763294,10.051798020181733,89.38896672390105
59,map->robot,-2.91554303763294,10.051798020181733,89.38896672390105
60,map->robot,-2.9158499299394336,10.053783719744168,89.3959547618674
61,map->robot,-2.91775682393914,10.054518909761788,89.38547184084521
62,map->robot,-2.9192066908338568,10.05501443343741,89.38444128472602
63,map->robot,-2.9204285210922176,10.055221724746353,89.38746104440992
64,map->robot,-2.917473170306259,10.052328810422857,89.38954218563897
65,map->robot,-2.917473170306259,10.052328810422857,89.38954218563897
66,map->robot,-2.9209770650003346,10.054381301319943,89.3854191057616
67,map->robot,-2.921909876636292,10.054605937512465,89.38759422273968
68,map->robot,-2.922381484582928,10.05395086713579,89.38391601361015
69,map->robot,-2.924242957273707,10.053216143132188,89.38960618759646
70,map->robot,-2.9202359853084907,10.052568590057536,89.3896015822951
71,map->robot,-2.924146738565339,10.053291295204243,89.38568840031799
72,map->robot,-2.9235195036167863,10.06229435908542,89.48038174717324
73,map->robot,-2.923538628235102,10.0538105241242,89.38930120290657
74,map->robot,-2.9250264356830673,10.05232837462879,89.38854952669165
75,map->robot,-2.925861271481839,10.051240845344081,89.38538920688293
76,map->robot,-2.9246052824418083,10.051752787323121,89.38757613162194
77,map->robot,-2.919625031140125,10.055197259321695,89.43906889248888
78,map->robot,-2.914697794587079,10.051325986344702,89.39332909102242
79,map->robot,-2.922099474994745,10.053120380989828,89.38605227655408
80,map->robot,-2.9227497444243173,10.053266514047323,89.38731359666907
81,map->robot,-2.922995488290214,10.061745637375623,89.47564489070837
82,map->robot,-2.9192559474395097,10.051845243002603,89.39820153305172
83,map->robot,-2.9205286545816023,10.052361038909364,89.3857511973687
84,map->robot,-2.922517122784294,10.053545719825753,89.39107148596115
85,map->robot,-2.9227647934070013,10.052870441293258,89.38456859337101
86,map->robot,-2.9227647934070013,10.052870441293258,89.38456859337101
87,map->robot,-2.9237598199665076,10.06135826729472,89.47321807511766
88,map->robot,-2.9199839463934367,10.051921226871363,89.39799456898642
89,map->robot,-2.9199839463934367,10.051921226871363,89.39799456898642
90,map->robot,-2.922355781897508,10.05317919905775,89.38567364240747
91,map->robot,-2.922355781897508,10.05317919905775,89.38567364240747
92,map->robot,-2.922927361513615,10.053327542291274,89.38362075992424
93,map->robot,-2.9239040788023836,10.06273724218461,89.4859507738753
