point_number,point_type,x,y,yaw
1,map->robot,-1.4709837049084573,14.131938707415063,-85.29080918581487
2,map->robot,-1.0321251947445127,6.94466687696831,-87.44971052008556
3,map->robot,-1.0903868306397957,6.991071431103247,90.84462254016593
4,map->robot,-1.1625745699020058,13.55676075794835,90.39181645160676
5,map->robot,-1.5013935259057103,13.789108221419458,-86.26472100327042
6,map->robot,-1.3368500150188503,7.351996397485586,-89.91132921906366
7,map->robot,-1.1790468074023437,7.150510308840673,-89.66322450439773
8,map->robot,-1.0319308533008051,7.319792468285619,89.0873903742105
9,map->robot,-0.8655599825450864,14.049705675403231,86.95565387315807
10,map->robot,-1.4760211394523086,14.049175948222901,-85.91133017649793
11,map->robot,-1.1131102265123456,6.867959949643055,-89.15777896996923
